logical_game_name,normalized_name,source_game_title,primary_igdb_id,all_igdb_ids,released,image_url_candidate,confidence,notes
Terraria,terraria,Terraria,1879,1879,2011-05-16,https://images.igdb.com/igdb/image/upload/t_cover_big/coaamg.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Elder Scrolls IV: Oblivion,theelderscrollsivoblivion,The Elder Scrolls IV: Oblivion,59,59,2006-03-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpz.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Elder Scrolls V: Skyrim,theelderscrollsvskyrim,The Elder Scrolls V: Skyrim,472,472,2011-11-10,https://images.igdb.com/igdb/image/upload/t_cover_big/cocs1l.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Idolmaster,theidolmaster,The Idolmaster,281482,281482,2005-07-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ksr.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Idolmaster: Cinderella Girls,theidolmastercinderellagirls,THE IDOLM@STER CINDERELLA GIRLS,11702,11702,2011-11-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nu1.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Last of Us,thelastofus,The Last of Us,1009,1009,2013-06-14,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r7f.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Last of Us Part II,thelastofuspartii,The Last of Us Part II,26192,26192,2020-06-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ziw.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Heroes: Trails in the Sky SC,thelegendofheroestrailsintheskysc,Trails in the Sky SC,16665,16665,2006-03-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co74em.jpg,high,IGDB正式名とSC別名から確定
The Legend of Heroes: Trails of Cold Steel,thelegendofheroestrailsofcoldsteel,Trails of Cold Steel,13557,13557,2013-09-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co44ma.jpg,high,2013年原作。II以降・Kai remasterとは分離
The Legend of Heroes: Trails of Cold Steel III,thelegendofheroestrailsofcoldsteeliii,Trails of Cold Steel III,26564,26564,2017-09-28,https://images.igdb.com/igdb/image/upload/t_cover_big/cobb5w.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda,thelegendofzelda,The Legend of Zelda,1022,1022,1986-02-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co1uii.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: A Link to the Past,thelegendofzeldaalinktothepast,The Legend of Zelda: A Link to the Past,1026,1026,1991-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co3vzn.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Legend of Zelda: Breath of the Wild,thelegendofzeldabreathofthewild,The Legend of Zelda: Breath of the Wild,7346,7346,2017-03-03,https://images.igdb.com/igdb/image/upload/t_cover_big/co3p2d.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Majora's Mask,thelegendofzeldamajorasmask,The Legend of Zelda: Majora's Mask,1030,1030,2000-04-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co3pah.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Ocarina of Time,thelegendofzeldaocarinaoftime,The Legend of Zelda: Ocarina of Time,1029,1029,1998-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co3nnx.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Legend of Zelda: Skyward Sword,thelegendofzeldaskywardsword,The Legend of Zelda: Skyward Sword,534,534,2011-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wrj.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Tears of the Kingdom,thelegendofzeldatearsofthekingdom,The Legend of Zelda: Tears of the Kingdom,119388,119388,2023-05-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vmg.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: The Wind Waker,thelegendofzeldathewindwaker,The Legend of Zelda: The Wind Waker,1033,1033,2002-12-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co3ohz.jpg,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Zelda: Twilight Princess,thelegendofzeldatwilightprincess,The Legend of Zelda: Twilight Princess,134014,134014,2006-11-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co3w1h.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Witcher 3: Wild Hunt,thewitcher3wildhunt,The Witcher 3: Wild Hunt,1942,1942,2015-05-19,https://images.igdb.com/igdb/image/upload/t_cover_big/coaarl.jpg,high,IGDB正式名・別名の完全一致候補が1件
The World Ends with You,theworldendswithyou,The World Ends with You,1343,1343,2007-07-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co1n67.jpg,high,IGDB正式名・別名の完全一致候補が1件
Trials of Mana (1995),trialsofmana1995,Trials of Mana,11227,11227,1995-09-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co71wc.jpg,high,Meridian Childは1995年原作（Seiken Densetsu 3）収録。IGDB 119391の2020 remakeとは分離
Triangle Strategy,trianglestrategy,Triangle Strategy,143610,143610,2022-03-04,https://images.igdb.com/igdb/image/upload/t_cover_big/co8wc0.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Ultrakill,ultrakill,ULTRAKILL,124333,124333,2020-09-03,https://images.igdb.com/igdb/image/upload/t_cover_big/co46s3.jpg,high,IGDB正式名・別名の完全一致候補が1件
Uma Musume: Pretty Derby,umamusumeprettyderby,Uma Musume: Pretty Derby,,,,,low,IGDB検索候補なし
Undertale,undertale,Undertale,12517,12517,2015-09-15,https://images.igdb.com/igdb/image/upload/t_cover_big/cob1t2.jpg,high,IGDB正式名・別名の完全一致候補が1件
Wuthering Waves,wutheringwaves,Wuthering Waves,202956,202956,2024-05-22,https://images.igdb.com/igdb/image/upload/t_cover_big/cocqad.jpg,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles,xenobladechronicles,Xenoblade Chronicles,2364,2364,2010-06-10,https://images.igdb.com/igdb/image/upload/t_cover_big/coc8ap.jpg,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles 2,xenobladechronicles2,Xenoblade Chronicles 2,26766,26766,2017-12-01,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8r2.jpg,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles 3,xenobladechronicles3,Xenoblade Chronicles 3,191411,191411,2022-07-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co4ocq.jpg,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles X,xenobladechroniclesx,Xenoblade Chronicles X,2366,2366,2015-04-29,https://images.igdb.com/igdb/image/upload/t_cover_big/coavor.jpg,high,IGDB正式名・別名の完全一致候補が1件
Yakuza 0,yakuza0,Like a Dragon 0,11397,11397,2015-03-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co252x.jpg,high,IGDB別名『Like a Dragon 0: The Place of Oath』『龍が如く0 誓いの場所』と一致。Director's Cutとは分離
Yakuza 5,yakuza5,Yakuza 5,2063,2063,2012-12-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co1n1g.jpg,high,IGDB正式名・別名の完全一致候補が1件
Yakuza 6: The Song of Life,yakuza6thesongoflife,Yakuza 6: The Song of Life,12527,12527,2016-12-08,https://images.igdb.com/igdb/image/upload/t_cover_big/co492w.jpg,high,IGDB正式名・別名の完全一致候補が1件
Yakuza Kiwami,yakuzakiwami,Yakuza Kiwami,12595,12595,2016-01-21,https://images.igdb.com/igdb/image/upload/t_cover_big/cob1qh.jpg,high,IGDB正式名・別名の完全一致候補が1件
Yakuza: Like a Dragon,yakuzalikeadragon,Yakuza: Like a Dragon,36550,36550,2020-01-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co2em9.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ys IX: Monstrum Nox,ysixmonstrumnox,Ys IX: Monstrum Nox,113431,113431,2019-09-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ate.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ys VIII: Lacrimosa of Dana,ysviiilacrimosaofdana,Ys VIII: Lacrimosa of Dana,27304,27304,2016-07-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co234k.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ys X: Nordics,ysxnordics,Ys X: Nordics,229176,229176,2023-09-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co7s9q.jpg,high,IGDB正式名・別名の完全一致候補が1件
Zenless Zone Zero,zenlesszonezero,Zenless Zone Zero,200551,200551,2024-06-20,https://images.igdb.com/igdb/image/upload/t_cover_big/cocnek.jpg,high,IGDB正式名・別名の完全一致候補が1件
